file	true_label	predicted_label
TAM_MSA_te01	NEUTRAL	POSITIVE
TAM_MSA_te02	NEGATIVE	HIGHLY NEGATIVE
TAM_MSA_te03	POSITIVE	POSITIVE
TAM_MSA_te04	NEUTRAL	POSITIVE
TAM_MSA_te05	HIGHLY POSITIVE	POSITIVE
TAM_MSA_te06	POSITIVE	POSITIVE
TAM_MSA_te07	POSITIVE	POSITIVE
TAM_MSA_te08	HIGHLY NEGATIVE	POSITIVE
TAM_MSA_te09	POSITIVE	POSITIVE
TAM_MSA_te10	POSITIVE	POSITIVE
MAL_MSA_te01	HIGHLY POSITIVE	POSITIVE
MAL_MSA_te02	NEGATIVE	POSITIVE
MAL_MSA_te03	NEUTRAL	POSITIVE
MAL_MSA_te04	NEUTRAL	POSITIVE
MAL_MSA_te05	HIGHLY NEGATIVE	POSITIVE
MAL_MSA_te06	POSITIVE	POSITIVE
MAL_MSA_te07	POSITIVE	POSITIVE
MAL_MSA_te08	HIGHLY POSITIVE	POSITIVE
MAL_MSA_te09	NEGATIVE	POSITIVE
MAL_MSA_te10	POSITIVE	POSITIVE
