file	true_label	predicted_label
TAM_MSA_01	POSITIVE	POSITIVE
TAM_MSA_02	POSITIVE	HIGHLY NEGATIVE
TAM_MSA_03	POSITIVE	HIGHLY POSITIVE
TAM_MSA_04	HIGHLY POSITIVE	HIGHLY POSITIVE
TAM_MSA_05	NEUTRAL	HIGHLY POSITIVE
TAM_MSA_06	POSITIVE	HIGHLY POSITIVE
TAM_MSA_08	POSITIVE	HIGHLY POSITIVE
TAM_MSA_10	POSITIVE	HIGHLY NEGATIVE
TAM_MSA_11	POSITIVE	HIGHLY POSITIVE
TAM_MSA_12	POSITIVE	HIGHLY POSITIVE
TAM_MSA_13	POSITIVE	HIGHLY POSITIVE
TAM_MSA_15	NEUTRAL	POSITIVE
TAM_MSA_17	HIGHLY NEGATIVE	HIGHLY NEGATIVE
TAM_MSA_27	NEGATIVE	NEGATIVE
TAM_MSA_07	HIGHLY POSITIVE	HIGHLY POSITIVE
TAM_MSA_09	HIGHLY POSITIVE	POSITIVE
TAM_MSA_14	POSITIVE	NEGATIVE
TAM_MSA_16	NEUTRAL	NEUTRAL
TAM_MSA_18	POSITIVE	NEUTRAL
TAM_MSA_19	POSITIVE	NEUTRAL
TAM_MSA_20	POSITIVE	HIGHLY POSITIVE
TAM_MSA_21	POSITIVE	HIGHLY POSITIVE
TAM_MSA_22	POSITIVE	HIGHLY NEGATIVE
TAM_MSA_23	NEUTRAL	NEUTRAL
TAM_MSA_24	POSITIVE	HIGHLY NEGATIVE
TAM_MSA_25	HIGHLY NEGATIVE	HIGHLY NEGATIVE
TAM_MSA_26	POSITIVE	NEGATIVE
TAM_MSA_28	NEGATIVE	POSITIVE
TAM_MSA_29	POSITIVE	NEUTRAL
TAM_MSA_30	POSITIVE	POSITIVE
TAM_MSA_31	POSITIVE	NEGATIVE
TAM_MSA_32	HIGHLY POSITIVE	HIGHLY POSITIVE
TAM_MSA_33	POSITIVE	HIGHLY POSITIVE
TAM_MSA_34	HIGHLY NEGATIVE	POSITIVE
TAM_MSA_35	POSITIVE	NEUTRAL
TAM_MSA_36	NEGATIVE	NEUTRAL
TAM_MSA_37	POSITIVE	NEUTRAL
TAM_MSA_38	POSITIVE	NEUTRAL
TAM_MSA_39	POSITIVE	NEUTRAL
TAM_MSA_40	HIGHLY POSITIVE	POSITIVE
TAM_MSA_45	NEUTRAL	POSITIVE
TAM_MSA_41	POSITIVE	POSITIVE
TAM_MSA_42	POSITIVE	POSITIVE
TAM_MSA_43	POSITIVE	HIGHLY POSITIVE
TAM_MSA_44	POSITIVE	NEGATIVE
TAM_MSA_46	NEUTRAL	NEGATIVE
TAM_MSA_47	NEGATIVE	NEUTRAL
TAM_MSA_48	POSITIVE	HIGHLY POSITIVE
TAM_MSA_49	HIGHLY NEGATIVE	HIGHLY POSITIVE
TAM_MSA_50	HIGHLY POSITIVE	NEGATIVE
TAM_MSA_51	POSITIVE	POSITIVE
TAM_MSA_52	POSITIVE	POSITIVE
TAM_MSA_53	HIGHLY POSITIVE	POSITIVE
TAM_MSA_54	POSITIVE	HIGHLY NEGATIVE
