file	true_label	predicted_label
MAL_MSA_01	POSITIVE	HIGHLY POSITIVE
MAL_MSA_02	POSITIVE	POSITIVE
MAL_MSA_03	POSITIVE	HIGHLY POSITIVE
MAL_MSA_04	POSITIVE	NEUTRAL
MAL_MSA_05	POSITIVE	POSITIVE
MAL_MSA_06	POSITIVE	NEUTRAL
MAL_MSA_07	POSITIVE	NEUTRAL
MAL_MSA_08	HIGHLY POSITIVE	HIGHLY POSITIVE
MAL_MSA_09	HIGHLY POSITIVE	HIGHLY POSITIVE
MAL_MSA_10	NEUTRAL	NEUTRAL
MAL_MSA_12	POSITIVE	POSITIVE
MAL_MSA_13	NEUTRAL	NEUTRAL
MAL_MSA_15	NEGATIVE	NEUTRAL
MAL_MSA_16	POSITIVE	HIGHLY NEGATIVE
MAL_MSA_20	NEGATIVE	NEUTRAL
MAL_MSA_11	HIGHLY NEGATIVE	POSITIVE
MAL_MSA_14	NEUTRAL	POSITIVE
MAL_MSA_17	POSITIVE	NEGATIVE
MAL_MSA_18	POSITIVE	POSITIVE
MAL_MSA_19	POSITIVE	POSITIVE
MAL_MSA_21	NEGATIVE	POSITIVE
MAL_MSA_22	NEGATIVE	NEGATIVE
MAL_MSA_23	POSITIVE	NEGATIVE
MAL_MSA_25	POSITIVE	NEGATIVE
MAL_MSA_27	POSITIVE	POSITIVE
MAL_MSA_28	POSITIVE	NEGATIVE
MAL_MSA_29	POSITIVE	POSITIVE
MAL_MSA_30	POSITIVE	POSITIVE
MAL_MSA_35	HIGHLY POSITIVE	NEGATIVE
MAL_MSA_37	HIGHLY POSITIVE	POSITIVE
MAL_MSA_24	NEGATIVE	NEGATIVE
MAL_MSA_26	NEGATIVE	NEGATIVE
MAL_MSA_31	POSITIVE	NEGATIVE
MAL_MSA_32	NEUTRAL	NEGATIVE
MAL_MSA_33	POSITIVE	HIGHLY POSITIVE
MAL_MSA_34	POSITIVE	NEGATIVE
MAL_MSA_36	POSITIVE	POSITIVE
MAL_MSA_39	POSITIVE	POSITIVE
MAL_MSA_40	POSITIVE	POSITIVE
MAL_MSA_41	NEGATIVE	POSITIVE
MAL_MSA_43	POSITIVE	POSITIVE
MAL_MSA_44	POSITIVE	NEUTRAL
MAL_MSA_45	HIGHLY POSITIVE	POSITIVE
MAL_MSA_46	POSITIVE	NEGATIVE
MAL_MSA_51	HIGHLY POSITIVE	HIGHLY POSITIVE
MAL_MSA_38	NEUTRAL	NEUTRAL
MAL_MSA_42	NEGATIVE	NEUTRAL
MAL_MSA_47	POSITIVE	NEGATIVE
MAL_MSA_48	POSITIVE	NEGATIVE
MAL_MSA_49	POSITIVE	NEGATIVE
MAL_MSA_50	POSITIVE	POSITIVE
MAL_MSA_52	POSITIVE	HIGHLY POSITIVE
MAL_MSA_53	POSITIVE	NEUTRAL
MAL_MSA_54	NEGATIVE	NEGATIVE
MAL_MSA_55	NEGATIVE	NEGATIVE
MAL_MSA_56	NEUTRAL	NEGATIVE
MAL_MSA_57	HIGHLY POSITIVE	NEGATIVE
MAL_MSA_58	POSITIVE	NEGATIVE
MAL_MSA_59	POSITIVE	NEGATIVE
MAL_MSA_60	POSITIVE	NEUTRAL
